Id,Category
0,1
1,5
2,1
3,2
4,3
5,1
6,2
7,1
8,1
9,2
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,2
23,1
24,2
25,1
26,1
27,1
28,1
29,2
30,1
31,1
32,1
33,1
34,1
35,3
36,1
37,1
38,2
39,1
40,1
41,1
42,1
43,2
44,1
45,1
46,1
47,1
48,5
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,5
57,6
58,1
59,1
60,2
61,1
62,1
63,2
64,1
65,3
66,1
67,1
68,4
69,1
70,1
71,1
72,5
73,1
74,1
75,1
76,1
77,1
78,1
79,4
80,1
81,1
82,4
83,1
84,1
85,1
86,1
87,1
88,5
89,1
90,1
91,4
92,1
93,1
94,2
95,1
96,4
97,1
98,1
99,2
100,1
101,4
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,2
113,1
114,1
115,1
116,1
117,1
118,1
119,2
120,1
121,1
122,1
123,1
124,3
125,1
126,1
127,1
128,1
129,1
130,1
131,4
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,4
143,1
144,1
145,1
146,3
147,1
148,1
149,1
150,1
151,1
152,0
153,1
154,3
155,1
156,1
157,1
158,1
159,1
160,3
161,3
162,3
163,2
164,1
165,1
166,2
167,1
168,1
169,4
170,2
171,1
172,1
173,2
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,2
182,1
183,1
184,1
185,1
186,4
187,1
188,1
189,2
190,1
191,1
192,4
193,1
194,1
195,1
196,1
197,1
198,1
199,5
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,2
208,1
209,4
210,1
211,1
212,1
213,4
214,1
215,2
216,1
217,4
218,1
219,1
220,2
221,1
222,1
223,1
224,2
225,4
226,1
227,2
228,2
229,1
230,1
231,3
232,1
233,1
234,1
235,2
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,3
255,1
256,1
257,2
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,5
268,2
269,2
270,1
271,1
272,4
273,1
274,1
275,4
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,2
284,2
285,1
286,1
287,2
288,1
289,1
290,2
291,1
292,2
293,1
294,4
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,2
303,1
304,2
305,1
306,1
307,1
308,1
309,4
310,1
311,2
312,2
313,3
314,1
315,1
316,2
317,1
318,1
319,1
320,1
321,2
322,1
323,1
324,2
325,1
326,1
327,2
328,1
329,2
330,2
331,4
332,1
333,2
334,6
335,1
336,1
337,4
338,1
339,1
340,1
341,5
342,1
343,1
344,5
345,1
346,3
347,1
348,1
349,3
350,1
351,1
352,1
353,1
354,1
355,1
356,1
